,UniqueCarrier,Month,DepDelay
0,9E,1,17.367816091954023
1,9E,2,9.97452229299363
2,9E,3,14.977142857142857
3,9E,4,4.130681818181818
4,9E,5,3.768595041322314
5,9E,6,3.69327731092437
6,9E,7,0.4609053497942387
7,9E,8,2.0155038759689923
8,9E,9,0.2633587786259542
9,9E,10,3.8054298642533935
10,9E,11,0.8776371308016878
11,9E,12,12.351020408163265
12,AA,1,9.426959619952495
13,AA,2,10.57642487046632
14,AA,3,13.77447335811648
15,AA,4,8.505431309904154
16,AA,5,11.177016831108531
17,AA,6,14.228059701492537
18,AA,7,10.189595375722543
19,AA,8,10.930313588850174
20,AA,9,2.3001277139208174
21,AA,10,1.1468401486988848
22,AA,11,2.377049180327869
23,AA,12,8.782068062827225
24,B6,1,6.563025210084033
25,B6,2,15.378995433789955
26,B6,3,13.806451612903226
27,B6,4,11.2875
28,B6,5,4.754639175257732
29,B6,6,14.440425531914894
30,B6,7,18.861635220125788
31,B6,8,22.27027027027027
32,B6,9,2.6447368421052633
33,B6,10,1.2124463519313304
34,B6,11,2.6589473684210527
35,B6,12,22.405405405405407
36,CO,1,6.256578947368421
37,CO,2,8.98342541436464
38,CO,3,15.383333333333333
39,CO,4,6.235824742268041
40,CO,5,7.842307692307692
41,CO,6,14.521794871794873
42,CO,7,10.250620347394541
43,CO,8,13.037974683544304
44,CO,9,2.531518624641834
45,CO,10,3.209362808842653
46,CO,11,4.9694019471488176
47,CO,12,15.976744186046512
48,DL,1,8.674418604651162
49,DL,2,13.386138613861386
50,DL,3,25.25862068965517
51,DL,4,19.442477876106196
52,DL,5,0.7857142857142857
53,DL,6,9.065637065637066
54,DL,7,21.836879432624112
55,DL,8,11.893772893772894
56,DL,9,1.0
57,DL,10,7.28169014084507
58,DL,11,6.928
59,DL,12,12.912408759124087
60,EV,1,13.91015625
61,EV,2,11.319526627218934
62,EV,3,18.291338582677167
63,EV,4,21.29032258064516
64,EV,5,8.916666666666666
65,EV,6,9.482142857142858
66,EV,7,33.714285714285715
67,EV,8,20.46268656716418
68,EV,9,-5.0
69,EV,11,74.0
70,EV,12,27.944444444444443
71,F9,1,2.4858757062146895
72,F9,2,5.0843373493975905
73,F9,3,9.381720430107526
74,F9,4,2.7386363636363638
75,F9,5,2.265193370165746
76,F9,6,7.094444444444444
77,F9,7,3.21505376344086
78,F9,8,5.225806451612903
79,F9,9,-3.283333333333333
80,F9,10,0.6333333333333333
81,F9,11,3.018292682926829
82,F9,12,14.797619047619047
83,MQ,1,0.9908045977011494
84,MQ,2,2.72
85,MQ,3,12.050125313283209
86,MQ,4,8.793427230046948
87,MQ,5,8.800486618004866
88,MQ,6,7.553921568627451
89,MQ,7,-6.357142857142857
90,NW,1,-1.565217391304348
91,NW,4,10.86021505376344
92,NW,5,-0.6
93,OH,1,11.158273381294965
94,OH,2,11.682926829268293
95,OH,3,18.766153846153845
96,OH,4,15.353221957040573
97,OH,5,10.586466165413533
98,OH,6,9.95686274509804
99,OH,7,13.508695652173913
100,OH,8,11.79203539823009
101,OH,9,11.0
102,OH,10,3.4
103,OH,11,13.903225806451612
104,OH,12,32.7037037037037
105,OO,1,16.440119760479043
106,OO,2,11.077586206896552
107,OO,3,14.539951573849878
108,OO,4,3.377906976744186
109,OO,5,8.838356164383562
110,OO,6,7.96606334841629
111,OO,7,7.417073170731707
112,OO,8,7.538681948424069
113,OO,9,6.11044776119403
114,OO,10,1.9624277456647399
115,OO,11,3.4
116,OO,12,27.065573770491802
117,UA,1,15.028409090909092
118,UA,2,6.094117647058823
119,UA,3,9.41304347826087
120,UA,4,16.141975308641975
121,UA,5,12.432926829268293
122,UA,6,19.080459770114942
123,UA,7,10.960674157303371
124,UA,8,12.458823529411765
125,UA,9,-1.1983471074380165
126,UA,10,-0.45161290322580644
127,UA,11,2.5982142857142856
128,UA,12,8.736842105263158
129,US,1,1.6404494382022472
130,US,2,0.6121212121212121
131,US,3,1.5
132,US,4,0.5916666666666667
133,US,5,-0.016129032258064516
134,US,6,2.4453781512605044
135,US,7,0.14516129032258066
136,US,8,5.908333333333333
137,US,9,-0.16363636363636364
138,US,10,-3.560344827586207
139,US,11,0.07692307692307693
140,US,12,2.8684210526315788
141,WN,1,8.055225445648375
142,WN,2,12.376506024096386
143,WN,3,13.433625218914186
144,WN,4,7.96067415730337
145,WN,5,9.615123770769753
146,WN,6,12.318726463539884
147,WN,7,9.002340354396523
148,WN,8,7.737521222410866
149,WN,9,4.4840900965319985
150,WN,10,5.86874790198053
151,WN,11,5.894007620367163
152,WN,12,17.81890812250333
153,XE,1,6.204702627939143
154,XE,2,5.657051282051282
155,XE,3,11.117880794701987
156,XE,4,2.2405566600397613
157,XE,5,3.5404339250493098
158,XE,6,6.764940239043825
159,XE,7,6.271317829457364
160,XE,8,8.594272076372315
161,XE,9,6.666666666666667
162,XE,12,-2.4193548387096775
163,YV,1,12.06829268292683
164,YV,2,18.03921568627451
165,YV,3,6.166666666666667
166,YV,4,13.768683274021353
167,YV,5,14.295302013422818
168,YV,6,21.452
169,YV,7,13.95890410958904
170,YV,8,11.29776247848537
171,YV,9,3.892857142857143
172,YV,10,9.094688221709006
173,YV,11,2.300248138957816
174,YV,12,13.086448598130842
